Team_ID,Year,Touchdowns,Long,Receptions,NO_A,Yards_Per_Reception,Average,Attempts,Percent,Yards_Per_Pass,Completions,Touchback,XPM,Inside_20,Field_Goal_Attempts,Passes_Defended,QB_Hurries,TFL,TOT,Solo,Sack,Fumble,Lost
5.0,2022.0,6.0,73.0,232.0,0.0,27.0,5.0,302.0,0.7682119205298014,20.741721854304636,232.0,1.0,5.0,42.0,10.0,105.0,71.0,24.0,191.0,163.0,49.0,3.0,6.0
5.0,2023.0,14.0,66.0,197.0,5.0,10.0,6.0,242.0,0.8140495867768595,8.140495867768594,197.0,4.0,14.0,46.0,18.0,146.0,55.0,38.0,124.0,64.0,35.0,7.0,0.0
6.0,2022.0,9.0,94.0,251.0,5.0,15.0,19.0,258.0,0.9728682170542635,14.593023255813954,251.0,1.0,6.0,49.0,5.0,136.0,51.0,29.0,205.0,141.0,39.0,10.0,0.0
6.0,2023.0,18.0,96.0,183.0,1.0,12.0,0.0,231.0,0.7922077922077922,9.506493506493506,183.0,0.0,18.0,37.0,5.0,104.0,73.0,42.0,183.0,151.0,14.0,6.0,6.0
7.0,2022.0,11.0,99.0,299.0,3.0,30.0,8.0,364.0,0.8214285714285714,24.642857142857142,299.0,5.0,7.0,39.0,17.0,130.0,55.0,20.0,167.0,99.0,27.0,2.0,1.0
7.0,2023.0,19.0,73.0,229.0,4.0,32.0,13.0,257.0,0.8910505836575876,28.513618677042803,229.0,4.0,1.0,45.0,15.0,108.0,71.0,27.0,172.0,137.0,17.0,8.0,1.0
8.0,2022.0,9.0,84.0,179.0,5.0,13.0,16.0,208.0,0.8605769230769231,11.1875,179.0,0.0,6.0,50.0,25.0,144.0,57.0,27.0,149.0,88.0,41.0,6.0,8.0
8.0,2023.0,16.0,90.0,291.0,5.0,24.0,19.0,312.0,0.9326923076923077,22.384615384615383,291.0,3.0,2.0,38.0,8.0,133.0,60.0,49.0,136.0,67.0,47.0,3.0,4.0
9.0,2022.0,5.0,66.0,235.0,4.0,10.0,2.0,245.0,0.9591836734693877,9.591836734693878,235.0,3.0,0.0,35.0,14.0,109.0,62.0,28.0,195.0,81.0,23.0,8.0,5.0
9.0,2023.0,14.0,67.0,299.0,3.0,30.0,5.0,346.0,0.8641618497109826,25.92485549132948,299.0,0.0,10.0,44.0,11.0,134.0,65.0,43.0,120.0,106.0,50.0,9.0,3.0
10.0,2022.0,19.0,79.0,235.0,2.0,35.0,5.0,265.0,0.8867924528301887,31.037735849056602,235.0,3.0,3.0,30.0,5.0,118.0,74.0,24.0,105.0,91.0,27.0,1.0,4.0
10.0,2023.0,9.0,75.0,185.0,0.0,32.0,0.0,252.0,0.7341269841269841,23.49206349206349,185.0,5.0,6.0,34.0,5.0,132.0,62.0,45.0,186.0,75.0,34.0,2.0,3.0
11.0,2022.0,14.0,75.0,259.0,2.0,29.0,5.0,294.0,0.8809523809523809,25.547619047619047,259.0,1.0,13.0,47.0,17.0,116.0,50.0,36.0,148.0,115.0,49.0,0.0,7.0
11.0,2023.0,19.0,58.0,249.0,1.0,26.0,0.0,347.0,0.7175792507204611,18.65706051873199,249.0,5.0,5.0,28.0,23.0,144.0,61.0,28.0,194.0,110.0,18.0,0.0,1.0
12.0,2022.0,9.0,91.0,268.0,5.0,21.0,9.0,316.0,0.8481012658227848,17.810126582278482,268.0,3.0,7.0,37.0,20.0,100.0,74.0,21.0,196.0,162.0,16.0,6.0,3.0
12.0,2023.0,7.0,62.0,279.0,5.0,24.0,9.0,292.0,0.9554794520547946,22.931506849315067,279.0,0.0,1.0,42.0,11.0,120.0,62.0,41.0,182.0,181.0,25.0,3.0,1.0
13.0,2022.0,13.0,86.0,259.0,5.0,35.0,6.0,280.0,0.925,32.375,259.0,5.0,6.0,44.0,24.0,108.0,67.0,28.0,183.0,142.0,48.0,9.0,3.0
13.0,2023.0,11.0,83.0,238.0,0.0,29.0,18.0,254.0,0.937007874015748,27.173228346456693,238.0,4.0,10.0,46.0,14.0,101.0,72.0,40.0,178.0,119.0,32.0,2.0,8.0
14.0,2022.0,15.0,63.0,180.0,5.0,23.0,20.0,203.0,0.8866995073891626,20.39408866995074,180.0,5.0,12.0,50.0,9.0,142.0,69.0,23.0,109.0,109.0,41.0,4.0,5.0
14.0,2023.0,13.0,50.0,221.0,1.0,5.0,13.0,248.0,0.8911290322580645,4.455645161290323,221.0,5.0,2.0,35.0,14.0,115.0,56.0,41.0,116.0,115.0,21.0,10.0,6.0
15.0,2022.0,6.0,85.0,290.0,4.0,21.0,1.0,338.0,0.8579881656804734,18.01775147928994,290.0,3.0,6.0,27.0,6.0,128.0,65.0,46.0,109.0,73.0,37.0,3.0,3.0
15.0,2023.0,20.0,58.0,183.0,1.0,11.0,21.0,217.0,0.8433179723502304,9.276497695852534,183.0,1.0,3.0,33.0,16.0,120.0,72.0,28.0,117.0,98.0,23.0,6.0,3.0
16.0,2022.0,7.0,54.0,151.0,2.0,23.0,10.0,170.0,0.888235294117647,20.429411764705883,151.0,3.0,1.0,35.0,14.0,110.0,50.0,35.0,111.0,80.0,37.0,5.0,8.0
16.0,2023.0,17.0,82.0,150.0,4.0,16.0,22.0,199.0,0.7537688442211056,12.06030150753769,150.0,0.0,8.0,46.0,14.0,122.0,69.0,30.0,105.0,56.0,40.0,2.0,8.0
17.0,2022.0,10.0,79.0,164.0,4.0,21.0,21.0,228.0,0.7192982456140351,15.105263157894736,164.0,4.0,5.0,32.0,14.0,141.0,61.0,33.0,174.0,167.0,22.0,0.0,6.0
17.0,2023.0,8.0,66.0,234.0,3.0,30.0,7.0,268.0,0.8731343283582089,26.19402985074627,234.0,3.0,1.0,29.0,14.0,148.0,74.0,35.0,143.0,119.0,29.0,2.0,5.0
18.0,2022.0,9.0,95.0,221.0,3.0,13.0,24.0,307.0,0.7198697068403909,9.35830618892508,221.0,4.0,4.0,49.0,20.0,149.0,55.0,28.0,175.0,140.0,46.0,3.0,7.0
18.0,2023.0,20.0,76.0,213.0,1.0,24.0,13.0,270.0,0.7888888888888889,18.933333333333334,213.0,4.0,17.0,26.0,19.0,108.0,68.0,25.0,170.0,154.0,39.0,10.0,3.0
19.0,2022.0,18.0,51.0,165.0,0.0,17.0,15.0,182.0,0.9065934065934066,15.412087912087912,165.0,4.0,1.0,25.0,11.0,103.0,71.0,27.0,117.0,81.0,23.0,4.0,4.0
19.0,2023.0,11.0,69.0,223.0,5.0,17.0,22.0,258.0,0.8643410852713178,14.693798449612403,223.0,1.0,7.0,43.0,9.0,138.0,64.0,38.0,105.0,98.0,29.0,0.0,7.0
